id_cliente;edad_cliente;inclinacion_tejado;antiguedad_propiedad;consumo_anual_mmpp;horas_trabajo;modalidad_trabajo;orientacion;ratio_ingresos_deudas;contrata
270;36;PocoInclinado;12;35;30;R;O;0,31;1
271;24;MuyInclinado;5;28;10;P;O;0,87;0
272;18;MuyInclinado;0;28;20;R;O;0,45;1
273;64;Suelo;34;116;30;P;S;0,27;1
274;22;PocoInclinado;0;36;40;P;O;0,4;0
275;28;MuyInclinado;7;88;20;P;N;0,23;1
276;66;MuyInclinado;43;152;30;R;S;0,15;1
277;20;PocoInclinado;0;27;20;R;E;0,24;1
278;18;MuyInclinado;0;33;40;R;E;0,33;0
279;34;PocoInclinado;1;40;20;P;O;0,62;0
280;73;MuyInclinado;2;39;40;P;N;0,69;0
281;23;PocoInclinado;0;47;40;P;N;0,38;0
282;43;Plano;6;54;20;R;E;0,07;1
283;23;MuyInclinado;1;30;20;P;O;0,93;0
284;52;MuyInclinado;6;55;40;R;E;0,08;1
285;39;Plano;8;41;10;R;E;0;1
286;31;MuyInclinado;2;45;20;R;E;0,1;1
287;47;MuyInclinado;6;34;40;R;E;0,17;1
288;28;Suelo;0;57;20;P;S;0,34;0
289;28;Plano;2;24;30;R;E;0,05;1
290;57;MuyInclinado;4;39;30;R;E;0,15;1
291;43;PocoInclinado;13;71;10;R;O;0,1;1
292;28;Plano;8;45;30;R;E;0,19;1
293;18;MuyInclinado;0;27;10;R;E;0,19;0
294;25;PocoInclinado;1;15;20;R;E;0,68;0
295;21;PocoInclinado;0;17;20;R;E;0,54;1
296;30;PocoInclinado;5;222;30;R;O;0,04;1
297;30;Plano;13;42;30;P;E;0,52;1
298;21;Plano;1;29;20;P;N;1,07;1
299;28;Plano;7;43;20;P;E;0,78;0
300;57;MuyInclinado;4;61;30;R;E;0,06;1
301;53;Plano;9;41;20;P;N;0,46;1
302;75;Plano;22;56;20;R;O;0,22;1
303;30;PocoInclinado;5;27;30;R;E;0,29;1
304;23;MuyInclinado;2;34;40;R;E;0,13;1
305;24;PocoInclinado;0;44;10;P;N;0,44;0
306;53;MuyInclinado;10;62;30;P;N;0,35;0
307;39;PocoInclinado;16;46;20;P;O;0,36;1
308;28;PocoInclinado;1;175;30;P;S;0,3;0
309;38;Suelo;7;124;40;P;S;0,35;1
310;19;MuyInclinado;0;30;20;R;E;0,17;1
311;26;PocoInclinado;1;31;40;P;O;0,52;0
312;41;PocoInclinado;15;89;20;R;N;0,2;1
313;35;Plano;5;62;40;R;O;0,22;0
314;41;MuyInclinado;21;56;10;R;O;0,13;1
315;18;MuyInclinado;0;36;30;R;O;0,23;0
316;26;Plano;1;15;10;R;E;0,51;1
317;21;PocoInclinado;0;44;20;R;O;0,21;1
318;20;PocoInclinado;0;45;20;R;O;0,25;0
319;27;PocoInclinado;3;36;10;P;O;0,61;0
320;26;PocoInclinado;1;39;10;R;E;0,07;1
321;28;MuyInclinado;6;112;30;R;E;0,06;1
322;23;Plano;1;19;20;R;E;0,45;1
323;21;Plano;4;15;30;R;E;0,56;1
324;44;MuyInclinado;2;50;30;R;E;0,08;1
325;28;PocoInclinado;4;48;20;P;S;0,75;0
326;26;PocoInclinado;3;18;20;P;E;0,85;0
327;46;PocoInclinado;0;34;40;R;E;0,15;1
328;25;Plano;2;30;30;P;E;0,97;0
329;28;MuyInclinado;3;64;20;R;O;0,24;0
330;24;PocoInclinado;0;44;20;P;N;0,44;0
331;29;MuyInclinado;1;39;40;P;N;0,37;0
332;25;PocoInclinado;1;35;30;R;E;0,05;0
333;18;MuyInclinado;0;19;20;P;E;0,88;0
334;28;PocoInclinado;4;20;30;P;E;0,93;0
335;28;MuyInclinado;8;40;20;R;O;0,34;0
336;31;PocoInclinado;1;43;20;R;N;0,26;1
337;36;PocoInclinado;10;51;40;P;S;0,39;1
338;26;Plano;4;34;40;P;E;0,75;0
339;39;MuyInclinado;7;82;20;P;S;0,39;1
340;26;PocoInclinado;0;23;10;P;O;0,58;0
341;32;PocoInclinado;7;71;30;P;S;0,47;0
342;55;MuyInclinado;32;229;40;R;S;0,07;1
343;23;Plano;5;48;40;P;O;0,56;0
344;28;PocoInclinado;4;58;20;P;N;0,34;0
345;41;MuyInclinado;4;56;30;R;N;0,2;1
346;23;PocoInclinado;0;62;30;R;E;0,08;0
347;29;MuyInclinado;6;27;30;R;E;0,3;1
348;18;MuyInclinado;0;22;20;R;E;0,19;0
349;53;MuyInclinado;30;220;20;P;N;0,19;1
350;44;Plano;17;107;30;P;S;0,25;1
351;18;MuyInclinado;0;19;10;R;E;0,44;0
352;18;MuyInclinado;0;15;30;R;E;0,61;1
353;43;PocoInclinado;0;31;10;R;E;0,1;1
354;22;MuyInclinado;0;30;30;P;O;0,5;0
355;24;PocoInclinado;0;28;30;R;E;0,18;1
356;36;MuyInclinado;16;96;20;P;S;0,25;1
357;19;MuyInclinado;0;23;20;R;O;0,47;1
358;20;Plano;2;20;30;P;O;1,13;0
359;33;PocoInclinado;3;34;20;R;E;0,05;1
360;38;PocoInclinado;6;25;30;P;N;1,56;0
361;35;MuyInclinado;4;57;30;R;O;0,17;1
362;35;PocoInclinado;10;53;10;P;S;0,55;1
363;23;MuyInclinado;2;17;10;P;E;1,47;0
364;19;MuyInclinado;0;26;20;R;E;0,28;0
365;35;MuyInclinado;9;43;40;P;N;0,5;1
366;46;Plano;0;25;40;R;E;0,15;1
367;21;Plano;4;44;40;R;E;0,21;0
368;35;PocoInclinado;10;263;20;R;S;0,07;0
369;18;MuyInclinado;0;19;30;R;E;0,09;1
370;33;Plano;3;34;10;R;E;0,11;0
371;23;PocoInclinado;0;42;40;R;O;0,23;1
372;40;MuyInclinado;0;21;30;P;S;2,11;0
373;29;MuyInclinado;5;26;40;R;E;0,26;0
374;46;PocoInclinado;13;45;30;P;S;0,72;0
375;30;PocoInclinado;3;23;10;R;E;0,35;0
376;21;MuyInclinado;1;29;20;R;E;0,25;1
377;32;MuyInclinado;12;27;20;R;E;0,08;1
378;23;PocoInclinado;0;47;20;R;E;0,28;1
379;63;Plano;17;103;40;P;S;0,24;1
380;26;PocoInclinado;1;63;20;P;E;0,31;0
381;41;MuyInclinado;17;68;20;R;S;0,24;1
382;25;Suelo;0;130;20;R;O;0,1;0
383;23;PocoInclinado;0;34;20;R;O;0,36;0
384;69;Plano;6;60;30;P;O;0,5;1
385;67;MuyInclinado;7;58;40;P;O;0,31;1
386;45;MuyInclinado;7;32;30;R;E;0,22;1
387;37;PocoInclinado;3;41;30;P;N;0,5;1
388;20;MuyInclinado;0;19;10;R;E;0,37;0
389;24;MuyInclinado;4;21;20;R;E;0,22;1
390;24;PocoInclinado;0;35;20;P;N;0,47;0
391;19;MuyInclinado;0;19;20;R;E;0,21;0
392;31;PocoInclinado;2;45;20;P;O;0,42;0
393;25;Suelo;0;32;10;P;O;0,6;0
394;53;Plano;1;30;30;R;E;0,38;1
395;21;PocoInclinado;0;23;30;R;E;0,36;0
396;28;PocoInclinado;3;31;30;P;N;0,55;0
397;42;PocoInclinado;18;63;20;P;N;0,29;1
398;22;MuyInclinado;0;30;40;P;O;0,5;0
399;56;PocoInclinado;22;57;30;R;E;0,06;1
400;64;Plano;26;56;20;P;N;0,57;1
401;26;PocoInclinado;4;23;30;R;E;0,44;1
402;31;PocoInclinado;1;69;40;R;E;0,01;1
403;21;MuyInclinado;1;40;30;R;O;0,27;0
404;50;Plano;20;117;30;R;S;0,14;1
405;32;MuyInclinado;2;30;20;R;O;0,41;1
406;40;PocoInclinado;10;38;30;R;E;0,22;1
407;72;MuyInclinado;44;187;10;R;S;0,14;1
408;30;PocoInclinado;4;39;20;P;N;0,38;0
409;32;PocoInclinado;1;45;40;P;O;0,45;0
410;30;MuyInclinado;3;35;30;P;E;0,62;0
411;20;MuyInclinado;0;34;30;P;E;0,51;0
412;53;MuyInclinado;10;62;20;P;N;0,35;0
413;22;PocoInclinado;0;56;40;R;E;0,08;1
414;36;Suelo;9;108;30;R;S;0,13;1
415;37;MuyInclinado;3;38;20;P;O;0,45;1
416;23;Plano;2;38;20;P;N;0,44;0
417;19;MuyInclinado;0;21;30;R;E;0,14;1
418;37;MuyInclinado;0;37;40;P;E;0,6;1
419;24;MuyInclinado;2;34;30;R;E;0,09;1
420;20;Plano;2;18;20;R;E;0,15;1
421;34;MuyInclinado;8;30;30;P;E;1,05;1
422;43;PocoInclinado;5;27;10;P;N;1;0
423;23;PocoInclinado;2;47;20;P;N;0,46;0
424;30;MuyInclinado;8;68;20;R;E;0,06;1
425;30;Plano;6;22;20;P;E;0,86;0
426;25;MuyInclinado;1;19;40;P;N;1,79;0
427;18;MuyInclinado;0;35;30;P;E;0,47;1
428;42;Plano;15;60;10;R;N;0,16;1
429;24;PocoInclinado;1;23;40;P;E;0,79;0
430;29;PocoInclinado;2;55;30;P;O;0,44;0
431;64;MuyInclinado;11;27;40;R;E;0,11;1
432;42;PocoInclinado;17;54;10;P;E;0,29;1
433;18;MuyInclinado;0;21;40;R;E;0,38;0
434;36;MuyInclinado;1;55;40;P;S;0,55;0
435;18;MuyInclinado;0;18;10;P;E;0,86;0
436;20;PocoInclinado;0;17;10;P;E;0,72;1
437;26;MuyInclinado;6;23;20;P;E;0,73;1
438;21;MuyInclinado;2;33;30;R;E;0,26;0
439;61;Plano;7;35;20;P;E;0,4;1
440;30;MuyInclinado;4;26;30;R;E;0,45;1
441;20;PocoInclinado;0;33;10;R;E;0,38;0
442;24;PocoInclinado;0;18;10;R;E;0,19;1
443;44;PocoInclinado;7;115;20;P;O;0,27;0
444;30;PocoInclinado;2;61;40;R;E;0,08;0
445;42;MuyInclinado;3;76;30;R;E;0,12;0
446;34;PocoInclinado;12;46;30;R;E;0,18;1
447;30;MuyInclinado;2;34;30;P;O;0,46;1
448;36;PocoInclinado;8;41;10;P;O;0,38;0
449;30;Plano;11;27;30;P;O;1,62;1
450;19;MuyInclinado;0;19;40;R;E;0,34;0
451;25;PocoInclinado;1;35;10;R;E;0,05;0
452;31;MuyInclinado;3;45;30;R;E;0,02;1
453;19;Plano;1;16;20;R;E;0,25;0
454;28;PocoInclinado;7;30;10;R;E;0,37;1
455;22;MuyInclinado;0;30;30;P;O;0,5;0
456;62;Plano;32;86;40;R;S;0,14;1
457;34;PocoInclinado;0;23;30;R;E;0,36;0
458;56;Plano;30;144;20;R;S;0,14;1
459;59;Plano;33;308;20;R;S;0,09;1
460;53;PocoInclinado;31;120;20;R;O;0,17;1
461;22;PocoInclinado;0;59;20;R;E;0,08;1
462;49;PocoInclinado;1;51;30;P;O;0,33;1
463;42;Plano;2;38;40;R;E;0,13;0
464;31;PocoInclinado;4;43;30;R;E;0,23;1
465;51;MuyInclinado;25;96;20;P;S;0,44;1
466;18;MuyInclinado;0;21;30;R;E;0,38;0
467;25;PocoInclinado;3;36;30;P;E;0,39;0
468;18;MuyInclinado;0;25;30;R;E;0,31;0
469;37;PocoInclinado;15;65;10;R;O;0,13;1
470;27;PocoInclinado;2;31;20;R;E;0,16;1
471;25;MuyInclinado;4;21;10;P;O;0,58;1
472;51;Plano;23;47;20;R;E;0,07;1
473;19;MuyInclinado;0;28;20;R;O;0,34;0
474;47;PocoInclinado;17;61;30;R;S;0,2;1
475;34;PocoInclinado;3;72;20;R;E;0,18;1
476;19;MuyInclinado;0;24;40;P;E;0,65;0
477;25;Plano;4;31;30;R;E;0,13;1
478;27;PocoInclinado;4;40;40;P;S;0,46;1
479;27;PocoInclinado;1;21;20;P;E;0,83;1
480;23;PocoInclinado;0;42;20;R;O;0,23;1
481;52;MuyInclinado;22;87;40;P;E;0,24;1
482;41;MuyInclinado;13;50;10;P;S;0,43;0
483;31;PocoInclinado;1;28;30;R;E;0,09;1
484;37;PocoInclinado;0;83;30;P;S;0,33;0
485;46;PocoInclinado;13;32;10;P;O;0,45;1
486;57;MuyInclinado;4;61;40;R;E;0,06;1
487;20;PocoInclinado;0;22;30;R;E;0,23;0
488;18;MuyInclinado;0;23;40;P;O;0,53;1
489;28;MuyInclinado;6;33;30;P;O;0,83;0
490;25;PocoInclinado;1;27;30;P;E;0,67;1
491;19;MuyInclinado;0;50;20;R;E;0,05;1
492;23;PocoInclinado;0;62;30;R;E;0,08;0
493;32;PocoInclinado;3;34;30;P;N;0,49;1
494;20;PocoInclinado;0;22;30;R;E;0,28;0
495;19;MuyInclinado;0;22;10;R;E;0,1;1
496;52;PocoInclinado;28;108;40;R;N;0,08;1
497;24;Plano;7;29;20;P;E;0,6;1
498;23;MuyInclinado;4;22;40;R;E;0,21;1
499;19;MuyInclinado;0;31;10;P;E;0,45;0
500;33;MuyInclinado;8;35;10;R;E;0,28;1
501;41;MuyInclinado;2;40;40;R;E;0,28;1
502;48;MuyInclinado;22;196;30;P;S;0,16;0
503;30;Suelo;2;99;40;R;E;0,03;1
504;34;PocoInclinado;2;55;20;P;S;0,36;0
505;18;MuyInclinado;0;35;20;R;E;0,15;1
506;55;PocoInclinado;34;150;20;R;E;0,17;1
507;18;MuyInclinado;0;44;30;R;O;0,3;1
508;54;PocoInclinado;4;69;30;P;O;0,29;1
